Station Name,Lat,Lon,Max,Min,Avg
Ada,47.32119,-96.51406,38.19546666666667,21.400933333333334,29.7984
Adams,48.49988,-98.07588,34.25573333333333,16.85516666666667,25.5557
Alamo,48.54652,-103.47186,32.763866666666665,12.4368,22.60053333333333
Alvarado,48.245942,-97.021532,36.92716666666667,19.318266666666666,28.123
Amidon,46.48844,-103.31629,37.42593333333333,16.728133333333332,27.077266666666667
Arnegard,47.93947,-103.45565,33.998599999999996,17.915766666666666,25.9574
Ayr,47.04639,-97.49481,38.061,20.262999999999998,29.162266666666667
Baker,48.167128,-99.64839,35.039566666666666,15.760866666666665,25.400466666666667
Beach,46.78941,-103.96629,36.32513333333333,16.918033333333334,26.6218
Becker,45.34399,-93.85014,43.77016666666667,26.7071,35.2388
Berthold,48.37954,-101.82199,34.1177,15.6201,24.86913333333333
Bottineau,48.82076,-100.75944,35.679566666666666,11.449133333333332,23.5646
Bowbells,48.81662,-102.23937,34.441633333333336,15.167033333333334,24.80453333333333
Bowman,46.19958,-103.47303,37.71846666666667,15.553366666666667,26.636133333333337
Brampton,45.98412,-97.82077,39.7647,19.860533333333333,29.812866666666665
Brorson,47.78227,-104.24812,34.24856666666667,15.2218,24.7353
Campbell,46.064941,-96.370141,40.3423,21.302433333333333,30.822633333333332
Cando,48.48294,-99.23359,35.257533333333335,12.878866666666665,24.068466666666666
Carrington,47.50865,-99.13215,36.67243333333333,16.026400000000002,26.349600000000002
Carson,46.44304,-101.37384,37.5202,15.787666666666667,26.654133333333334
Cavalier,48.84428,-97.64428,36.6124,20.191966666666666,28.40246666666667
Charbonneau,47.92098,-103.79042,33.513600000000004,16.73033333333333,25.122166666666665
Clarissa,46.111545,-94.905826,41.6308,23.364033333333335,32.49766666666667
Clyde,48.73715,-98.97841,33.71306666666667,14.373466666666667,24.043433333333333
Cooperstown,47.44278,-98.17723,36.45886666666667,16.421233333333333,26.440299999999997
Courtenay,47.22119,-98.67987,37.01383333333333,16.8221,26.918266666666668
Crane Creek,48.064785,-102.354239,34.571333333333335,16.4438,25.5078
Crary,48.04971,-98.60614,35.788599999999995,17.6373,26.713133333333335
Croff,47.74951,-102.87725,35.24786666666667,13.242233333333333,24.24523333333333
Crosby,48.80716,-103.31174,33.2114,13.255799999999999,23.233733333333337
Crystal,48.61591,-97.76441,36.1813,17.6412,26.911533333333335
Dagmar,48.55591,-104.34651,33.16883333333333,11.377066666666668,22.27313333333333
Dazey,47.18321,-98.13767,36.752433333333336,17.412633333333336,27.082766666666668
Denhoff,47.48741,-100.24677,35.1211,16.489066666666666,25.8053
Dickinson,46.89483,-102.81284,36.63466666666667,15.275933333333334,25.95553333333333
Dooley,48.83369,-104.38458,31.7878,13.9519,22.87
Dunn,47.34161,-102.63076,35.94433333333333,14.271466666666667,25.1081
Edgeley,46.31913,-98.76608,39.001999999999995,20.5737,29.788133333333334
Edmore,48.42057,-98.51278,34.393299999999996,14.518533333333332,24.456133333333334
Ekre,46.54005,-97.14094,39.46619999999999,21.409066666666668,30.437866666666665
Eldred,47.68769,-96.82221,36.9815,19.1221,28.052000000000003
Emerado,47.91201,-97.32515,37.988566666666664,19.5421,28.765533333333334
Epping,48.25607,-103.31802,33.9372,12.062333333333333,23.0
Fargo,46.896932,-96.812209,38.993966666666665,22.775766666666666,30.8851
Fingal,46.74639,-97.91081,37.780366666666666,20.9198,29.3503
Finley,47.52643,-97.84726,36.1518,19.3461,27.7492
Forest River,48.29607,-97.60317,37.1208,19.151233333333334,28.1362
Fort Yates,46.08488,-100.67651,39.92296666666667,17.146433333333334,28.53483333333333
